id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance
530,CUBASMCN,6,0.18068181818181817,0.8174924242424252,0.674,0.934,0.04527046644707798,1.0617904040404045,0.919,1.178,531878160,393.532,27.8372591006424
531,LEINV_DGEMM_1,6,0.1743181818181822,0.78964393939394,0.639,0.884,0.036198915832934296,0.7903358585858585,0.639,0.885,236000,392.37,27.714932126696834
533,>MPL-SLCOMM2_COMMS PART2  ( 511),1,0.09909090909090905,0.4479242424242425,0.064,1.4169999999999998,0.3337656160843811,0.44793939393939397,0.064,1.4169999999999998,1056,446.038,95.4834156669019
537,VUPDZ0_MOD:VUPDZ0,6,0.1843181818181821,0.8333080808080803,0.615,0.9420000000000001,0.06412709718023324,0.8422929292929289,0.624,0.95,7938480,395.374,34.71337579617835
540,>OMP-SCAN2M GFL           (1032),6,0.22934343434343454,1.0373257575757566,0.722,1.2990000000000002,0.15755496511081526,1.0374191919191906,0.722,1.2990000000000002,38016,390.32099999999997,44.418783679753666
547,SITNU,6,0.1499242424242422,0.6792752525252531,0.5670000000000001,0.865,0.058104902895043206,2.632939393939394,2.28,3.239,3975642,400.145,34.45086705202311
556,>MPL-BROADCAST IOSTREAM IN( 628),1,0.17727272727272714,0.81539393939394,0.015,0.8290000000000001,0.10003920443627302,0.81539393939394,0.015,0.8290000000000001,132,449.906,98.19059107358264
560,SDISSIP_ARD,6,0.17719696969697024,0.8020959595959593,0.7609999999999999,0.845,0.016358975667798686,0.8031717171717174,0.762,0.847,915486,387.975,9.940828402366874
566,radiation_cloud_generator:cloud_generator,6,0.17994949494949466,0.8143636363636351,0.501,1.133,0.15144746038351656,1.280785353535354,0.86,1.6340000000000001,1946880,404.67,55.781112091791705
567,>OMP-FTINV_CTL            (1639),6,0.16563131313131293,0.7494823232323239,0.47,1.014,0.1299570218758574,7.572770202020192,6.434,8.161,39600,409.251,53.64891518737673
569,GPGEO,6,0.16598484848484843,0.7497146464646465,0.696,0.8009999999999999,0.01901862877902059,3.90508585858586,3.7089999999999996,4.101,8306760,391.904,13.108614232209737
578,GPADDSLPHY,6,0.17111111111111177,0.7745707070707069,0.638,0.831,0.03213070695807003,0.7791969696969693,0.642,0.835,3969240,393.496,23.225030084235858
597,radiation_adding_ica_lw:fast_adding_ica_lw,6,0.15681818181818158,0.7096818181818186,0.46299999999999997,0.9390000000000001,0.09833831952146674,0.7113787878787876,0.46399999999999997,0.9420000000000001,920272,409.72,50.692225772097984
598,SATUR,6,0.1600252525252509,0.7205656565656571,0.7,0.7509999999999999,0.007538138125775708,0.7288560606060613,0.708,0.759,9451530,392.73800000000006,6.790945406125158
603,METHOX,6,0.15805555555555406,0.7069469696969698,0.6920000000000001,0.731,0.007130587769129323,0.710888888888889,0.696,0.735,3969240,393.43800000000005,5.335157318741439
606,>OMP-WAMODEL 2            (1431),6,0.1507575757575754,0.6828611111111115,0.5429999999999999,0.9109999999999999,0.06293415005638245,9.765257575757568,9.203,10.247,38016,403.341,40.39517014270033
607,LAIDDI_RAD,6,0.16406565656565641,0.7433106060606057,0.684,0.7959999999999999,0.022934623400392595,0.7490378787878785,0.69,0.8009999999999999,6863040,391.559,14.070351758793956
614,>MPL-SEND/RECV IN GETSPEC ( 623),1,0.1522727272727274,0.6859848484848484,0.496,0.72,0.031344484203392003,0.686151515151515,0.496,0.72,57948,405.13199999999995,31.11111111111111
627,GPINO3CH,6,0.14813131313131245,0.668530303030303,0.631,0.72,0.01702363482611014,0.6727676767676768,0.635,0.7240000000000001,3969240,398.899,12.361111111111107
637,VSURF_MOD:VSURF,6,0.14053030303030328,0.6346111111111112,0.5820000000000001,0.738,0.02869084938191927,1.648416666666666,1.245,2.521,71446320,401.342,21.138211382113813
639,LAIDDI,6,0.13724747474747528,0.6216085858585864,0.584,0.6920000000000001,0.019653474637755842,0.624954545454545,0.5870000000000001,0.695,3969240,400.145,15.606936416184983
641,LASCAW_CLO,6,0.13989898989899036,0.6329343434343432,0.568,0.7090000000000001,0.020751958451380698,0.6386540404040402,0.573,0.715,7938480,398.899,19.887165021156576
650,UPDATE_FIELDS,6,0.1308080808080813,0.592060606060606,0.535,0.6940000000000001,0.028479908327906152,0.5961893939393942,0.539,0.6990000000000001,3969240,404.42800000000005,22.910662824207495
655,SECSPOM,6,0.10626262626262617,0.48080555555555554,0.317,0.715,0.11268079736867297,0.48086616161616147,0.318,0.715,28314,419.49,55.66433566433566
666,>OMP-WAMODEL 1            (1430),6,0.125934343434344,0.5695984848484846,0.44,0.617,0.03018731224344609,3.16591919191919,3.0210000000000004,3.409,38412,410.408,28.687196110210696
669,PHYS_ARRAYS_FIN,6,0.1286111111111116,0.5800808080808078,0.537,0.622,0.013901590305293775,0.5836489898989901,0.54,0.626,3969240,402.83099999999996,13.66559485530546
672,RADINTG,1,0.13030303030303025,0.5868030303030302,0.5429999999999999,0.647,0.02038945405914138,23.756060606060608,22.995,24.295,594,404.5,16.074188562596614
674,>OMP-WAMODEL 3            (1432),6,0.13590909090909117,0.6162499999999993,0.406,0.7,0.05502952602173866,0.6163686868686862,0.406,0.7,38016,412.56800000000004,41.99999999999999
683,CUDDRAFN,6,0.13613636363636353,0.6158282828282828,0.396,1.004,0.11572403143349735,0.6188106060606061,0.39899999999999997,1.0070000000000001,3969240,413.57,60.55776892430279
689,>OMP-RADDRV      2        (1202),6,0.12555555555555595,0.5654520202020203,0.46299999999999997,0.6579999999999999,0.03817508261441369,0.8952323232323234,0.792,1.023,3564,408.72,29.635258358662607
694,>OMP-RADINTG-INPUT LOOP2  (1206),6,0.12704545454545477,0.572891414141414,0.541,0.625,0.013801332792737845,0.5728989898989897,0.541,0.625,3564,404.626,13.439999999999994
